passer,recipient,n_passes_completed
Thomas Delaney,Kasper Dolberg,1
Thomas Delaney,Kasper Schmeichel,1
Thomas Delaney,Martin Braithwaite Christensen,2
Thomas Delaney,Mikkel Damsgaard,2
Thomas Delaney,Pierre-Emile Højbjerg,4
Thomas Delaney,Simon Thorup Kjær,3
Thomas Delaney,Yussuf Yurary Poulsen,1
Yussuf Yurary Poulsen,Christian Nørgaard,4
Yussuf Yurary Poulsen,Daniel Wass,3
Yussuf Yurary Poulsen,Joakim Mæhle,1
Yussuf Yurary Poulsen,Martin Braithwaite Christensen,1
Yussuf Yurary Poulsen,Pierre-Emile Højbjerg,1
Yussuf Yurary Poulsen,Thomas Delaney,4
