team,match,weight_centralization,possession_minutes,goal_scored,I_normalized_minutes,Centralization
Austria,Austria_North Macedonia,0.0392184326633517,32.54769891905,3.0,12.074586316453209,0.0630923684520097
Austria,Italy_Austria,0.0186500386187668,35.34784718358333,1.0,13.777359550942563,-0.026145937758935135
Austria,Netherlands_Austria,0.0408256880733945,30.30290110256667,0.0,11.880050651965725,0.01671358250192193
Austria,Ukraine_Austria,0.025533325964408,27.105284584116664,1.0,12.248534007075047,-0.005280371963528755
Belgium,Belgium_Italy,0.0310271822451512,24.49786538873333,1.0,15.3890959076534,0.009604607349899054
Belgium,Belgium_Portugal,0.031251533140362,25.0872315517,1.0,14.907982143396628,0.007571237885950452
Belgium,Belgium_Russia,0.0413874858262034,35.65216553406666,3.0,14.978052300630877,0.015418734188352013
Belgium,Denmark_Belgium,0.0336930649596746,30.55138878718333,2.0,12.994499293156396,0.006861617514258421
Belgium,Finland_Belgium,0.0369014704034183,39.5778554194,2.0,14.755726246696504,-0.029885994041664792
Croatia,Croatia_Czech Republic,0.0226339932399806,27.634340703666663,1.0,11.000805239390557,-0.013970799990215105
Croatia,Croatia_Scotland,0.0386691398873681,34.677102703016665,3.0,15.831772472509384,-0.0033280176233739926
Croatia,Croatia_Spain,0.0328273561301084,27.58655580045,3.0,9.968623919174211,0.01212752832324496
Croatia,England_Croatia,0.0228708059360137,26.972169068333336,0.0,13.087564411511844,0.00828873928615639
Czech Republic,Croatia_Czech Republic,0.0157798165137614,26.39928211915,1.0,11.363945377226017,-0.017008548661571896
Czech Republic,Czech Republic_Denmark,0.0230156954256305,26.916121636916667,1.0,10.662754607497636,-0.02953463357014187
Czech Republic,Czech Republic_England,0.0298325527683325,24.31590991721667,0.0,11.761846501886412,-0.008907107940160074
Czech Republic,Netherlands_Czech Republic,0.0238596946218432,24.527538567216663,2.0,11.538051371296415,-0.048078976699468416
Czech Republic,Scotland_Czech Republic,0.006409999599375,22.2698490837,2.0,10.282961466838689,0.0297417530752458
Denmark,Czech Republic_Denmark,0.0198526094149496,22.129815085066664,2.0,11.025849021425069,-0.03586423286936358
Denmark,Denmark_Belgium,0.0295526508078265,27.46428546725,1.0,12.343303101922793,0.037952009716918714
Denmark,Denmark_Finland,0.0445675965165556,34.53414958561667,0.0,11.408996738813554,-0.0012536748535361204
Denmark,England_Denmark,0.0307817647267188,29.590230534950003,1.0,8.752888886556207,-0.01676401137533232
Denmark,Russia_Denmark,0.0250337813811251,27.25872710293333,4.0,14.197288029577676,-0.029665221670050992
Denmark,Wales_Denmark,0.0340592666412638,24.508988285,4.0,12.770824987156342,-0.006611135004761597
England,Czech Republic_England,0.0282728795340349,30.863414454,1.0,11.89110169735078,-0.013221227135742227
